12,Cherry MX Switches
12,DSA Keycaps (optional custom keys)
4,M3x5x4 Heatset inserts
4,M3x16mm screws
12,1N4148 DO-35 Diodes
1,"0.91"" 128x32 OLED Display"
1,EC11 Rotary Encoder
1,XIAO RP2040
1,Case (2 printed parts) ~$5.47 without shipping
